"No.","Time","Source","Destination","Protocol","Length","Info"
"120","375.655481","200.42.4.207","192.168.0.78","DNS","161","Standard query response 0x1050 AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"121","375.657988","192.168.0.78","200.42.4.207","DNS","100","Standard query 0x78ba AAAA connectivity-check.ubuntu.com OPT"
"122","375.741823","200.42.4.207","192.168.0.78","DNS","161","Standard query response 0x78ba AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"123","380.351038","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","Who has 192.168.0.1? Tell 192.168.0.78"
"124","380.414377","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","192.168.0.1 is at 02:10:18:93:cd:5c"
"125","380.420656","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"126","380.420732","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"127","386.195186","192.168.0.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"128","389.772443","1.0.168.192","224.0.0.1","ICMP","60","Mobile IP Advertisement (Normal router advertisement)"
"129","392.236790","192.168.0.1","224.0.0.22","IGMPv3","70","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.22 for any sources / Join group 224.0.0.2 for any sources"
"130","392.639074","192.168.0.78","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"131","395.917844","192.168.0.221","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"132","396.226837","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"133","396.228617","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"134","396.326305","192.168.0.125","224.0.0.22","IGMPv3","62","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.251 for any sources"
"135","398.066555","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0010 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"136","398.271587","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"137","398.273510","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"138","400.234101","192.168.0.1","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"139","400.237216","192.168.0.1","239.255.255.250","SSDP","331","NOTIFY * HTTP/1.1 "
"140","400.321264","192.168.0.1","239.255.255.250","SSDP","322","NOTIFY * HTTP/1.1 "
"141","400.324925","192.168.0.1","239.255.255.250","SSDP","396","NOTIFY * HTTP/1.1 "
"142","400.331114","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"143","400.332882","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"144","417.316489","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"145","417.318274","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"146","418.135180","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0011 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"147","419.262464","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"148","419.264245","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"149","421.313543","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"150","421.315325","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"151","438.102398","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0012 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"152","438.308009","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"153","438.309797","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"154","440.354277","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"155","440.356064","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"156","442.299567","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"157","442.301374","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"158","458.067557","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0013 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"159","459.296486","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"160","459.298275","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"161","461.344303","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"162","461.346096","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"163","463.394712","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"164","482.334548","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"165","482.336480","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"166","484.382441","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"167","484.384376","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"168","486.434220","192.168.0.78","35.232.111.17","TCP","74","37384  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3026044726 TSecr=0 WS=128"
"169","486.639805","35.232.111.17","192.168.0.78","TCP","74","80  >  37384 [SYN, ACK] Seq=0 Ack=1 Win=64768 Len=0 MSS=1420 SACK_PERM=1 TSval=30282101 TSecr=3026044726 WS=128"
"170","486.639964","192.168.0.78","35.232.111.17","TCP","66","37384  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3026044932 TSecr=30282101"
"171","486.640232","192.168.0.78","35.232.111.17","HTTP","153","GET / HTTP/1.1 "
"172","486.950710","35.232.111.17","192.168.0.78","TCP","66","80  >  37384 [ACK] Seq=1 Ack=88 Win=64256 Len=0 TSval=30282322 TSecr=3026044932"
"173","486.958483","35.232.111.17","192.168.0.78","HTTP","214","HTTP/1.1 204 No Content "
"174","486.958580","192.168.0.78","35.232.111.17","TCP","66","37384  >  80 [ACK] Seq=88 Ack=149 Win=64128 Len=0 TSval=3026045250 TSecr=30282322"
"175","486.959205","192.168.0.78","35.232.111.17","TCP","66","37384  >  80 [FIN, ACK] Seq=88 Ack=149 Win=64128 Len=0 TSval=3026045251 TSecr=30282322"
"176","486.969440","35.232.111.17","192.168.0.78","TCP","66","80  >  37384 [FIN, ACK] Seq=149 Ack=88 Win=64256 Len=0 TSval=30282322 TSecr=3026044932"
"177","486.969545","192.168.0.78","35.232.111.17","TCP","66","37384  >  80 [ACK] Seq=89 Ack=150 Win=64128 Len=0 TSval=3026045261 TSecr=30282322"
"178","487.153728","35.232.111.17","192.168.0.78","TCP","66","80  >  37384 [ACK] Seq=150 Ack=89 Win=64256 Len=0 TSval=30282651 TSecr=3026045251"
"179","492.075449","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"180","492.075528","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"181","498.102638","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0015 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"182","503.435218","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"183","505.374939","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"184","511.413305","192.168.0.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"185","512.543037","192.168.0.78","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"186","512.950912","192.168.0.125","224.0.0.22","IGMPv3","62","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.251 for any sources"
"187","517.659435","192.168.0.1","224.0.0.22","IGMPv3","70","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.22 for any sources / Join group 224.0.0.2 for any sources"
"188","518.070695","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0016 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"189","521.447885","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"190","521.450264","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"191","522.371629","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
